pair_name,pair_a,pair_b,sign,region_rank,region_id_raw,size_voxels,tfce_threshold_used,tfce_sum,tfce_max,Layer,NoiseStd,Percent,idx_layer,idx_noise,idx_percent,tfce_value,tfce_abs_for_sign,t_value,mean_subtraction,n_valid
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,24.0,1.6,0.3,24,5,3,23182.802560640233,23182.802560640233,14.747062120085364,0.02958860759493671,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,25.0,1.1,0.5,25,0,5,25281.122517851876,25281.122517851876,15.60905643024724,0.012500000000000002,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,25.0,1.1,0.6,25,0,6,28026.126698122785,28026.126698122785,16.809517797348832,0.01613924050632911,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,25.0,1.1,0.7,25,0,7,29463.979110585904,29463.979110585904,17.846568297574745,0.022151898734177212,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,25.0,1.1,0.8,25,0,8,27090.583946425995,27090.583946425995,16.37105361594063,0.031803797468354426,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,25.0,1.1,0.9,25,0,9,29788.32841945207,29788.32841945207,17.82096246619089,0.03449367088607593,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,25.0,1.1,1.0,25,0,10,25840.991398862778,25840.991398862778,15.841306197894953,0.04345991561181436,30
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,25.0,1.2,0.6,25,1,6,31375.52611472647,31375.52611472647,20.314051613378755,0.025791139240506335,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,25.0,1.2,0.7,25,1,7,31859.537291729666,31859.537291729666,21.4099500411789,0.03528481012658228,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,25.0,1.2,0.8,25,1,8,22922.729228221928,22922.729228221928,14.63967048217191,0.03702531645569619,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,25.0,1.3,0.4,25,2,4,25614.84075763592,25614.84075763592,15.74695944931081,0.01803797468354431,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,25.0,1.3,0.5,25,2,5,26186.411779187812,26186.411779187812,15.985655622399399,0.028955696202531644,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,25.0,1.3,0.6,25,2,6,32848.868761276,32848.868761276,23.33936726710742,0.03939873417721518,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,25.0,1.4,0.4,25,3,4,29312.24306091877,29312.24306091877,17.598462499688456,0.02848101265822784,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,25.0,1.4,0.5,25,3,5,22895.94843577762,22895.94843577762,14.628582335548021,0.03591772151898733,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,25.0,1.5,0.4,25,4,4,30334.303156736845,30334.303156736845,18.66500871512174,0.038291139240506325,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,25.0,1.6,0.3,25,5,3,29394.841453216603,29394.841453216603,19.892868888980292,0.03053797468354431,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,25.0,1.7,0.3,25,6,3,28938.59693629467,28938.59693629467,18.673708276527854,0.0370253164556962,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,26.0,1.1,0.5,26,0,5,22614.688840772425,22614.688840772425,14.512063946937381,0.01424050632911392,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,26.0,1.1,0.8,26,0,8,23694.90449112226,23694.90449112226,14.957921795416794,0.030221518987341774,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,26.0,1.1,0.9,26,0,9,32941.78078667634,32941.78078667634,21.726354566715067,0.0370253164556962,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,26.0,1.2,0.5,26,1,5,24421.743957608076,24421.743957608076,16.431676725154986,0.0189873417721519,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,26.0,1.2,0.6,26,1,6,24094.816855519264,24094.816855519264,15.121757844963522,0.025632911392405068,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,26.0,1.2,0.7,26,1,7,27158.34832351438,27158.34832351438,16.40097211782693,0.0319620253164557,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,26.0,1.2,0.8,26,1,8,29491.35244085809,29491.35244085809,18.09630322679719,0.03639240506329114,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,26.0,1.3,0.4,26,2,4,23131.51497054105,23131.51497054105,14.725863771941764,0.017721518987341763,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,26.0,1.3,0.6,26,2,6,29009.892094410323,29009.892094410323,17.292535523776596,0.035443037974683525,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,26.0,1.4,0.3,26,3,3,24951.628532334053,24951.628532334053,16.911534525287767,0.013924050632911392,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,26.0,1.4,0.5,26,3,5,25142.169158454777,25142.169158454777,15.551795786982922,0.039715189873417725,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,26.0,1.5,0.3,26,4,3,24532.344871305926,24532.344871305926,15.300840728632112,0.01882911392405063,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,26.0,1.5,0.4,26,4,4,30979.35998468141,30979.35998468141,20.34915809791938,0.03607594936708861,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,26.0,1.6,0.3,26,5,3,28527.06468238253,28527.06468238253,17.80642421393999,0.02753164556962025,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,26.0,1.7,0.3,26,6,3,25785.78564808687,25785.78564808687,15.818245011438666,0.03528481012658227,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,26.0,1.8,0.2,26,7,2,27117.681028195402,27117.681028195402,17.710997313458115,0.025949367088607594,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,26.0,1.9,0.2,26,8,2,25600.655479642483,25600.655479642483,15.741059062192539,0.031803797468354426,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,27.0,1.1,0.6,27,0,6,27479.567710238476,27479.567710238476,16.545850680440193,0.016930379746835436,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,27.0,1.1,0.7,27,0,7,28067.838347823865,28067.838347823865,16.82955859650488,0.02025316455696202,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,27.0,1.1,0.8,27,0,8,29181.76182905573,29181.76182905573,17.403679308324456,0.026424050632911388,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,27.0,1.1,0.9,27,0,9,32682.495055930434,32682.495055930434,21.166801667303602,0.031012658227848107,40
Semantic_minus_Neologism,Semantic,Neologism,positive,1,1,134,22402.62805173757,3702666.4236555956,34316.8335838638,27.0,1.2,0.4,27,1,4,27060.78418076123,27060.78418076123,16.393119745795794,0.013291139240506327,40
