pair_name,pair_a,pair_b,region_rank,region_id_raw,size_voxels,tfce_sum,tfce_max,tfce_threshold_used,mean_threshold_used,Layer,NoiseStd,Percent,idx_layer,idx_noise,idx_percent,tfce_value,score_value,mean_conjunction,std_conjunction,n_valid
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,33.0,1.7,0.3,33,6,3,5.715701920361844,0.8090905565856437,0.0047468354430379766,0.005865877822761383,40
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,33.0,1.7,0.4,33,6,4,70.1276294991547,3.0384449646290705,0.03085443037974684,0.010153678047135045,40
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,33.0,1.7,0.5,33,6,5,33.71234937882368,1.6590781415332811,0.02278481012658227,0.013732415898979349,40
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,33.0,1.7,0.6,33,6,6,12.862892927340093,1.1168761517041057,0.010443037974683543,0.009349220218015918,40
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,33.0,1.7,0.7,33,6,7,3.206164939765098,0.6401761921450595,0.002373417721518988,0.0037064445295541194,40
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,33.0,1.8,0.3,33,7,3,33.579786837361205,1.6562253849997286,0.017405063291139243,0.010507873640493137,40
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,33.0,1.8,0.4,33,7,4,65.98830742314391,2.6350704504398514,0.0254746835443038,0.00966655311610417,40
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,33.0,1.8,0.5,33,7,5,12.024736499683582,1.087624527371811,0.007911392405063288,0.007273010658973242,40
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,33.0,1.8,0.6,33,7,6,2.3486359608464307,0.5623434113646967,0.002215189873417722,0.003938211927533556,40
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,33.0,1.9,0.2,33,8,2,7.97656658473181,0.9244927156664403,0.00458860759493671,0.0049623788532653975,40
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,33.0,1.9,0.3,33,8,3,65.35891372783837,2.6049841976067385,0.030537974683544307,0.011721902085778594,40
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,33.0,1.9,0.4,33,8,4,18.307105735484996,1.2862917739491153,0.014398734177215189,0.01119298760749969,40
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,33.0,2.0,0.2,33,9,2,13.237274657295469,1.1296193989897232,0.011550632911392408,0.010224243052414587,40
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,33.0,2.0,0.3,33,9,3,60.807605763668256,2.2791173235014406,0.023892405063291135,0.010482183474988858,40
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,33.0,2.0,0.4,33,9,4,5.3135718520581605,0.7856851276408536,0.004272151898734178,0.0054364860213556585,40
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,34.0,1.1,1.0,34,0,10,6.105114645279271,0.8307853592023192,0.0042194092827004225,0.005077819981555404,30
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,34.0,1.2,0.8,34,1,8,6.401343305488481,0.8467265163601071,0.004272151898734178,0.0050444920404515365,40
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,34.0,1.2,0.9,34,1,9,18.754214822844414,1.2988757564828484,0.011708860759493673,0.009013611829540517,40
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,34.0,1.2,1.0,34,1,10,34.49052302279096,1.675663048775552,0.022573839662447255,0.013470586473749907,30
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,34.0,1.3,0.7,34,2,7,15.312532147418581,1.197249823930426,0.011708860759493669,0.0097787974369751,40
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,34.0,1.3,0.8,34,2,8,66.5606525474778,2.5148736010260775,0.02341772151898734,0.009310689267179404,40
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,34.0,1.3,0.9,34,2,9,65.8337700683153,2.4469629688474583,0.03322784810126582,0.013578219842839075,40
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,34.0,1.3,1.0,34,2,10,71.63661576919802,2.9864607861912282,0.03448275862068966,0.011545362430114853,29
Semantic_and_Neologism,Semantic,Neologism,1,3,1019,24499.23502241208,85.98563859464149,1.5190647045691692,0.002056962025316456,34.0,1.4,0.5,34,3,5,2.7453451797038837,0.6003868891656816,0.0028481012658227852,0.004742776583430403,40
