Layer,NoiseStd,Percent,NumSeeds,Phonemic_minus_Neologism_mean,Phonemic_minus_Neologism_t,Phonemic_minus_Neologism_tfce,Phonemic_minus_Neologism_n_valid,Semantic_minus_Neologism_mean,Semantic_minus_Neologism_t,Semantic_minus_Neologism_tfce,Semantic_minus_Neologism_n_valid
0.0,1.6,0.2,40,-0.005063291139240507,-0.2536791617459143,-0.20678242918417558,40,-0.03844936708860759,-1.8001317016958356,-75.55752859524829,40
0.0,1.6,0.3,40,-0.02151898734177215,-0.7545816057691105,-0.5394301449137617,40,-0.05031645569620252,-1.6707816437208738,-71.39380829552067,40
0.0,1.6,0.4,40,0.0022151898734177225,0.1516720735915912,0.061621576954823565,40,-0.027848101265822784,-1.866876790593193,-75.99165987355222,40
0.0,1.6,0.5,40,-0.009177215189873418,-0.40034655797745355,-0.7634861700795249,40,-0.04208860759493671,-1.5131809496191566,-53.432679615540614,40
0.0,1.6,0.6,40,0.0004746835443037988,0.0884839180913152,0.006475295695754121,40,-0.012183544303797467,-1.7375373892913917,-80.01971224790027,40
0.0,1.6,0.7,40,-0.008069620253164555,-0.5323657448092709,-1.760274809979359,40,-0.0240506329113924,-1.4327007988227571,-45.53753522273167,40
0.0,1.6,0.8,40,-0.05253164556962024,-1.8097065475618044,-39.18634440435315,40,-0.06028481012658228,-1.935873312876467,-109.55369414252097,40
0.0,1.6,0.9,40,-0.008227848101265822,-1.532610591284977,-38.40682646234679,40,-0.01518987341772152,-2.061874087808046,-131.47854213973588,40
0.0,1.6,1.0,40,-0.013531209079004807,-0.8418056430753065,-6.716615301684984,29,-0.030554343081623744,-1.4721354090363765,-49.304054725240235,29
0.0,1.7,0.0,40,0.0,0.0,0.0,10,0.0,0.0,0.0,10
0.0,1.7,0.1,40,0.01629746835443038,2.259664324004368,93.29754960129931,40,0.0020569620253164554,0.5031879469401405,0.04642251035648759,40
0.0,1.7,0.2,40,0.00917721518987342,0.6286282174898995,4.202035402097211,40,-0.029272151898734177,-1.7150019122775053,-75.29318321373152,40
0.0,1.7,0.3,40,-0.01661392405063291,-0.8013016640880812,-0.5679663246987625,40,-0.03908227848101266,-1.7215831734528846,-75.32689530812677,40
0.0,1.7,0.4,40,0.01313291139240506,1.1617331894614358,25.39007649828859,40,-0.01550632911392405,-2.003029112777328,-76.50350343974503,40
0.0,1.7,0.5,40,-0.028955696202531644,-1.1178124502382019,-1.832782538202806,40,-0.0444620253164557,-1.6654753432833997,-70.73453394748095,40
0.0,1.7,0.6,40,0.00047468354430379794,0.06441566264008312,0.006322346419084803,40,-0.011867088607594936,-1.5716303495894688,-59.69921345736873,40
0.0,1.7,0.7,40,-0.029272151898734177,-1.3353588098666445,-17.670837315459174,40,-0.045253164556962024,-1.8153099491144835,-90.90151092559962,40
0.0,1.7,0.8,40,-0.02674050632911392,-1.1654717590553536,-17.403133771505427,40,-0.035759493670886086,-1.4712913588270595,-49.22174023114276,40
0.0,1.7,0.9,40,-0.042563291139240504,-1.7680276346239905,-54.27923350254787,40,-0.057594936708860754,-2.063676951542837,-131.80949803880202,40
0.0,1.7,1.0,40,-0.0019642077695329542,-0.2874944542499729,-0.2948351445948627,29,-0.01331296377127892,-1.9179247246069329,-106.63769945157277,29
0.0,1.8,0.0,40,0.0,0.0,0.0,10,0.0,0.0,0.0,10
