pair_name,pair_a,pair_b,sign,region_rank,size_voxels,tfce_sum,tfce_max,n_valid_mean,n_valid_min,point_type,Layer,NoiseStd,Percent,score_value,idx_layer,idx_noise,idx_percent
Phonemic_minus_Neologism,Phonemic,Neologism,positive,1,249,11481866.848932607,99952.1621603409,39.036144578313255,29,support,29.0,2.0,0.4,63529.04425779301,29,9,4
Phonemic_minus_Neologism,Phonemic,Neologism,positive,1,249,11481866.848932607,99952.1621603409,39.036144578313255,29,support,29.0,1.3,1.0,63090.05102268919,29,2,10
Phonemic_minus_Neologism,Phonemic,Neologism,positive,1,249,11481866.848932607,99952.1621603409,39.036144578313255,29,support,28.0,1.7,0.6,62256.369483719005,28,6,6
Phonemic_minus_Neologism,Phonemic,Neologism,positive,1,249,11481866.848932607,99952.1621603409,39.036144578313255,29,support,28.0,2.0,0.3,60982.633822729345,28,9,3
Semantic_minus_Neologism,Semantic,Neologism,negative,1,200,2496042.05474025,16527.448250014302,39.195,29,peak,19.0,1.9,0.3,16527.448250014302,19,8,3
Semantic_minus_Neologism,Semantic,Neologism,negative,1,200,2496042.05474025,16527.448250014302,39.195,29,centroid,20.0,1.6,0.6,12712.375270858887,20,5,6
Semantic_minus_Neologism,Semantic,Neologism,negative,1,200,2496042.05474025,16527.448250014302,39.195,29,support,20.0,1.7,0.5,15305.839966382413,20,6,5
Semantic_minus_Neologism,Semantic,Neologism,negative,1,200,2496042.05474025,16527.448250014302,39.195,29,support,21.0,1.4,0.8,14988.232829226517,21,3,8
Semantic_minus_Neologism,Semantic,Neologism,negative,1,200,2496042.05474025,16527.448250014302,39.195,29,support,24.0,1.7,0.6,14954.71891315545,24,6,6
Semantic_minus_Neologism,Semantic,Neologism,negative,1,200,2496042.05474025,16527.448250014302,39.195,29,support,23.0,1.7,0.5,14924.615085131878,23,6,5
Semantic_minus_Neologism,Semantic,Neologism,negative,1,200,2496042.05474025,16527.448250014302,39.195,29,support,20.0,2.0,0.3,14880.593594423954,20,9,3
Semantic_minus_Neologism,Semantic,Neologism,negative,1,200,2496042.05474025,16527.448250014302,39.195,29,support,20.0,1.4,0.7,14814.922340457477,20,3,7
Semantic_minus_Neologism,Semantic,Neologism,negative,1,200,2496042.05474025,16527.448250014302,39.195,29,support,25.0,1.5,0.7,14617.287061531331,25,4,7
Semantic_minus_Neologism,Semantic,Neologism,negative,1,200,2496042.05474025,16527.448250014302,39.195,29,support,20.0,1.8,0.4,14583.707328987246,20,7,4
Semantic_minus_Neologism,Semantic,Neologism,negative,1,200,2496042.05474025,16527.448250014302,39.195,29,support,19.0,1.5,0.6,14449.021658495118,19,4,6
Semantic_minus_Neologism,Semantic,Neologism,negative,1,200,2496042.05474025,16527.448250014302,39.195,29,support,24.0,1.4,1.0,14403.1798457517,24,3,10
Semantic_minus_Neologism,Semantic,Neologism,negative,1,200,2496042.05474025,16527.448250014302,39.195,29,support,24.0,1.6,0.7,14394.83533383219,24,5,7
Semantic_minus_Neologism,Semantic,Neologism,negative,1,200,2496042.05474025,16527.448250014302,39.195,29,support,22.0,2.0,0.3,14382.203215310574,22,9,3
Semantic_minus_Neologism,Semantic,Neologism,negative,1,200,2496042.05474025,16527.448250014302,39.195,29,support,22.0,1.4,0.9,14377.983323203698,22,3,9
Semantic_minus_Neologism,Semantic,Neologism,negative,1,200,2496042.05474025,16527.448250014302,39.195,29,support,23.0,1.6,0.6,14306.34960465808,23,5,6
Semantic_minus_Neologism,Semantic,Neologism,negative,1,200,2496042.05474025,16527.448250014302,39.195,29,support,25.0,1.6,0.6,14244.843016382114,25,5,6
Semantic_minus_Neologism,Semantic,Neologism,negative,1,200,2496042.05474025,16527.448250014302,39.195,29,support,22.0,1.9,0.4,14212.382638693827,22,8,4
Semantic_minus_Neologism,Semantic,Neologism,negative,1,200,2496042.05474025,16527.448250014302,39.195,29,support,23.0,1.5,0.7,13994.130366160723,23,4,7
Semantic_minus_Neologism,Semantic,Neologism,negative,1,200,2496042.05474025,16527.448250014302,39.195,29,support,21.0,1.5,0.7,13941.813903488657,21,4,7
Semantic_minus_Neologism,Semantic,Neologism,negative,1,200,2496042.05474025,16527.448250014302,39.195,29,support,24.0,1.5,0.8,13847.259085518537,24,4,8
Semantic_minus_Neologism,Semantic,Neologism,negative,1,200,2496042.05474025,16527.448250014302,39.195,29,support,22.0,1.6,0.7,13807.630340773756,22,5,7
Semantic_minus_Neologism,Semantic,Neologism,negative,2,10,103284.87575814092,10677.719161399458,40.0,40,peak,33.0,2.0,0.3,10677.719161399458,33,9,3
Semantic_minus_Neologism,Semantic,Neologism,negative,2,10,103284.87575814092,10677.719161399458,40.0,40,centroid,34.0,1.9,0.4,10400.42447690936,34,8,4
Semantic_minus_Neologism,Semantic,Neologism,negative,2,10,103284.87575814092,10677.719161399458,40.0,40,support,33.0,1.8,0.5,10506.938793336081,33,7,5
Semantic_minus_Neologism,Semantic,Neologism,negative,2,10,103284.87575814092,10677.719161399458,40.0,40,support,35.0,1.8,0.5,10072.576168077994,35,7,5
Semantic_minus_Neologism,Semantic,Neologism,negative,3,3,31565.1613335038,10926.247301672054,40.0,40,peak,37.0,1.7,0.7,10926.247301672054,37,6,7
Semantic_minus_Neologism,Semantic,Neologism,positive,1,134,3702666.4236555956,34316.8335838638,39.850746268656714,30,peak,28.0,1.5,0.4,34316.8335838638,28,4,4
Semantic_minus_Neologism,Semantic,Neologism,positive,1,134,3702666.4236555956,34316.8335838638,39.850746268656714,30,centroid,27.0,1.3,0.5,23240.591004862734,27,2,5
Semantic_minus_Neologism,Semantic,Neologism,positive,1,134,3702666.4236555956,34316.8335838638,39.850746268656714,30,support,28.0,1.1,0.9,33576.60906732288,28,0,9
Semantic_minus_Neologism,Semantic,Neologism,positive,1,134,3702666.4236555956,34316.8335838638,39.850746268656714,30,support,26.0,1.1,0.9,32941.78078667634,26,0,9
Semantic_minus_Neologism,Semantic,Neologism,positive,1,134,3702666.4236555956,34316.8335838638,39.850746268656714,30,support,25.0,1.3,0.6,32848.868761276,25,2,6
Semantic_minus_Neologism,Semantic,Neologism,positive,1,134,3702666.4236555956,34316.8335838638,39.850746268656714,30,support,29.0,1.2,0.8,32489.312862446644,29,1,8
Semantic_minus_Neologism,Semantic,Neologism,positive,1,134,3702666.4236555956,34316.8335838638,39.850746268656714,30,support,29.0,1.3,0.6,32197.389895819848,29,2,6
Semantic_minus_Neologism,Semantic,Neologism,positive,1,134,3702666.4236555956,34316.8335838638,39.850746268656714,30,support,25.0,1.2,0.7,31859.537291729666,25,1,7
Semantic_minus_Neologism,Semantic,Neologism,positive,1,134,3702666.4236555956,34316.8335838638,39.850746268656714,30,support,28.0,1.2,0.7,31242.257115425837,28,1,7
Semantic_minus_Neologism,Semantic,Neologism,positive,1,134,3702666.4236555956,34316.8335838638,39.850746268656714,30,support,26.0,1.5,0.4,30979.35998468141,26,4,4
Semantic_minus_Neologism,Semantic,Neologism,positive,1,134,3702666.4236555956,34316.8335838638,39.850746268656714,30,support,24.0,1.4,0.4,30905.14666607077,24,3,4
Semantic_minus_Neologism,Semantic,Neologism,positive,1,134,3702666.4236555956,34316.8335838638,39.850746268656714,30,support,24.0,1.1,0.7,30844.272899544696,24,0,7
Semantic_minus_Neologism,Semantic,Neologism,positive,1,134,3702666.4236555956,34316.8335838638,39.850746268656714,30,support,30.0,1.5,0.4,30699.801011154213,30,4,4
Semantic_minus_Neologism,Semantic,Neologism,positive,1,134,3702666.4236555956,34316.8335838638,39.850746268656714,30,support,24.0,1.1,0.9,30439.40150481133,24,0,9
Semantic_minus_Neologism,Semantic,Neologism,positive,1,134,3702666.4236555956,34316.8335838638,39.850746268656714,30,support,29.0,1.4,0.4,30433.46352207011,29,3,4
Semantic_minus_Neologism,Semantic,Neologism,positive,1,134,3702666.4236555956,34316.8335838638,39.850746268656714,30,support,31.0,1.1,0.8,30350.903305928397,31,0,8
Semantic_minus_Neologism,Semantic,Neologism,positive,1,134,3702666.4236555956,34316.8335838638,39.850746268656714,30,support,27.0,1.4,0.4,30248.700237906825,27,3,4
Semantic_minus_Neologism,Semantic,Neologism,positive,1,134,3702666.4236555956,34316.8335838638,39.850746268656714,30,support,29.0,1.6,0.3,30199.80111242759,29,5,3
Semantic_minus_Neologism,Semantic,Neologism,positive,1,134,3702666.4236555956,34316.8335838638,39.850746268656714,30,support,23.0,1.1,0.8,30099.709960597484,23,0,8
Semantic_minus_Neologism,Semantic,Neologism,positive,1,134,3702666.4236555956,34316.8335838638,39.850746268656714,30,support,27.0,1.2,0.8,30079.77754512984,27,1,8
Semantic_minus_Neologism,Semantic,Neologism,positive,1,134,3702666.4236555956,34316.8335838638,39.850746268656714,30,support,29.0,1.2,0.5,29565.15486601017,29,1,5
Semantic_minus_Neologism,Semantic,Neologism,positive,1,134,3702666.4236555956,34316.8335838638,39.850746268656714,30,support,25.0,1.6,0.3,29394.841453216603,25,5,3
Semantic_minus_Neologism,Semantic,Neologism,positive,2,38,916244.9814508609,26222.28649903602,40.0,40,peak,36.0,1.5,0.4,26222.28649903602,36,4,4
Semantic_minus_Neologism,Semantic,Neologism,positive,2,38,916244.9814508609,26222.28649903602,40.0,40,centroid,35.0,1.3,0.5,24944.839302184497,35,2,5
