pair_name,pair_a,pair_b,Layer,NoiseStd,Percent,NumSeeds,n_valid,mean_conjunction,std_conjunction,score_value,tfce_value
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.6,0.1,40,40,0.00680379746835443,0.02791689519994873,0.24370739339858705,0.4181466762033725
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.6,0.2,40,40,0.013924050632911392,0.03422466563142941,0.4068306744668522,0.853175377696491
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.6,0.3,40,40,0.01170886075949367,0.026796634992424,0.4369363476591834,0.8585472018736541
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.6,0.4,40,40,0.009968354430379746,0.02876851892776139,0.34649013267860723,0.8377639594832048
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.6,0.5,40,40,0.011234177215189874,0.04204340587047769,0.26719790618038375,0.5003909935186661
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.6,0.6,40,40,0.006170886075949367,0.022040919199392436,0.27996137814167565,0.5511369573658796
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.6,0.7,40,40,0.007436708860759494,0.021778392371209116,0.341456213929564,0.8608264744239251
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.6,0.8,40,40,0.005537974683544304,0.01629055402054904,0.33992918518141885,0.8517908919896203
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.6,0.9,40,40,0.005221518987341772,0.016707649725471636,0.3125039469456221,0.701134182949953
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.6,1.0,40,29,0.009384548232213007,0.03126446329778464,0.30015701807553136,0.6405406922317509
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.7,0.0,40,10,0.0,0.0,0.0,0.0
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.7,0.1,40,40,0.005379746835443039,0.025540633545191004,0.21062657664102072,0.3254970974934567
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.7,0.2,40,40,0.016139240506329113,0.04198136899615179,0.3844290089444089,0.8482043870713731
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.7,0.3,40,40,0.008386075949367088,0.023870914133729253,0.35129465958987266,0.8393198821560592
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.7,0.4,40,40,0.006012658227848101,0.017841090559265957,0.3369929217585738,0.8346194248679859
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.7,0.5,40,40,0.004746835443037975,0.013272192489262492,0.35762575182104717,0.9613934351254325
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.7,0.6,40,40,0.003639240506329114,0.015160600106145308,0.24003010769648614,0.40661641458894326
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.7,0.7,40,40,0.00870253164556962,0.028618173817298517,0.3040804637172817,0.6592974473456205
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.7,0.8,40,40,0.005854430379746836,0.014713641104677313,0.3978642997881818,1.248525480174251
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.7,0.9,40,40,0.0120253164556962,0.02887231642515964,0.4164854593986847,1.400316822695207
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.7,1.0,40,29,0.005237887385421213,0.017089358157554323,0.3064820138427555,0.671049705168587
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.8,0.0,40,10,0.0,0.0,0.0,0.0
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.8,0.1,40,40,0.009018987341772151,0.03885402699150908,0.23211893132240144,0.38291013127223694
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.8,0.2,40,40,0.023575949367088612,0.06490932817574939,0.3632079829153695,0.8430535610950369
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.8,0.3,40,40,0.012341772151898734,0.03786498273674146,0.32593296832419144,0.77206740873161
Phonemic_and_Neologism,Phonemic,Neologism,0.0,1.8,0.4,40,40,0.00379746835443038,0.023012672867411915,0.16500922631118628,0.2362731623792815
